mode,pattern,injection_rate,offered_load,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,average_link_utilization,adaptive_hops,escape_hops,escape_transitions,escape_hop_fraction,sim_ticks,sim_freq
mesh3d_xyz,uniform_random,0.68,0.34,217600.00000000003,217207.0,216941.0,0.9981939338235293,0.9987753617516931,0.3389703125,2.0,11.332537,13.332537,3.749992,124.8338,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.7,0.35,224000.0,223803.0,223515.0,0.9991205357142857,0.9987131539791692,0.3492421875,2.000009,11.380556,13.380565,3.755386,128.741,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.72,0.36,230400.0,230099.0,229830.0,0.9986935763888889,0.9988309379875618,0.359109375,2.0,11.414528,13.414528,3.749584,132.2374,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.74,0.37,236800.0,236467.0,236173.0,0.99859375,0.9987566975518782,0.3690203125,2.000025,11.465206,13.465231,3.751923,135.9476,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.76,0.38,243200.0,242793.0,242504.0,0.9983264802631578,0.9988096856169659,0.3789125,2.000045,11.498652,13.498697,3.744784,139.4118,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.78,0.39,249600.0,249368.0,249074.0,0.9990705128205128,0.9988210195373906,0.389178125,2.000016,11.569831,13.569847,3.753804,143.4104,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.8,0.4,256000.0,255570.0,255276.0,0.9983203125,0.9988496302382909,0.39886875,2.000024,11.614077,13.6141,3.751042,146.9107,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.82,0.41,262400.0,261936.0,261599.0,0.9982317073170732,0.998713426180441,0.4087484375,2.00034,11.664823,13.665163,3.748317,150.4907,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.84,0.42,268800.0,268418.0,268077.0,0.998578869047619,0.9987295933953758,0.4188703125,2.000119,11.714097,13.714216,3.747882,154.2045,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.86,0.43,275200.0,274829.0,274475.0,0.9986518895348837,0.9987119263250966,0.4288671875,2.001873,11.791577,13.793449,3.754258,158.0593,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.88,0.44,281600.0,281202.0,280843.0,0.9985866477272727,0.9987233376718515,0.4388171875,2.000324,11.837347,13.837671,3.746663,161.5134,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.9,0.45,288000.0,287618.0,287256.0,0.9986736111111111,0.9987413861441217,0.4488375,2.000501,11.933735,13.934236,3.748312,165.2465,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.92,0.46,294400.0,294132.0,293753.0,0.9990896739130435,0.9987114628806114,0.4589890625,2.000759,12.020575,14.021334,3.751077,169.0693,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.94,0.47,300800.0,300557.0,300181.0,0.9991921542553192,0.9987489893763911,0.4690328125,2.002928,12.116213,14.119141,3.751633,172.7821,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.96,0.48,307200.0,306759.0,306384.0,0.998564453125,0.9987775419792084,0.478725,2.003753,12.193972,14.197726,3.745724,176.1665,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,0.98,0.49,313600.0,313150.0,312766.0,0.9985650510204082,0.9987737505987546,0.488696875,2.006459,12.345504,14.351963,3.748544,179.9224,0.0,0.0,0.0,0.0,10000.0,2000000000.0
mesh3d_xyz,uniform_random,1.0,0.5,320000.0,319599.0,319173.0,0.998746875,0.9986670796842293,0.4987078125,2.021819,12.459842,14.48166,3.747648,183.5981,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.02,0.01,6400.0,6387.0,6382.0,0.99796875,0.9992171598559574,0.009971875,2.0,9.049044,11.049044,3.015826,3.2027,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.04,0.02,12800.0,12618.0,12600.0,0.98578125,0.9985734664764622,0.0196875,2.0,9.027381,11.027381,2.997302,6.3038,0.0,0.0,0.0,0.0,10000.0,2000000000.0
