pattern,injection_rate,offered_load,packets_injected,packets_received,throughput,delivery_ratio,queueing_latency,network_latency,packet_latency,average_hops,sim_ticks,sim_freq
shuffle,0.38,0.19,121234.0,121086.0,0.189196875,0.9987792203507267,2.000933,12.126348,14.127281,3.996143,10000.0,2000000000.0
shuffle,0.39,0.195,124354.0,124195.0,0.1940546875,0.9987213921546553,2.001135,12.294875,14.29601,3.996747,10000.0,2000000000.0
shuffle,0.4,0.2,127637.0,127469.0,0.1991703125,0.9986837672461747,2.002189,12.505393,14.507582,3.997709,10000.0,2000000000.0
shuffle,0.41,0.205,130827.0,130648.0,0.2041375,0.9986317809014958,2.007953,12.808937,14.81689,3.998171,10000.0,2000000000.0
shuffle,0.42,0.21,133970.0,133783.0,0.2090359375,0.9986041651115921,2.03996,13.29654,15.3365,3.998483,10000.0,2000000000.0
shuffle,0.43,0.215,137149.0,136930.0,0.213953125,0.9984031965234891,2.147155,14.140269,16.287424,3.999182,10000.0,2000000000.0
shuffle,0.44,0.22,140401.0,140136.0,0.2189625,0.9981125490559184,2.620105,16.024812,18.644916,3.998509,10000.0,2000000000.0
shuffle,0.45,0.225,143485.0,143184.0,0.223725,0.9979022197442241,6.680174,19.06368,25.743854,3.997528,10000.0,2000000000.0
shuffle,0.46,0.23,145946.0,145587.0,0.2274796875,0.9975401860962274,24.889523,23.493588,48.383111,3.995048,10000.0,2000000000.0
shuffle,0.47,0.235,147072.0,146664.0,0.2291625,0.9972258485639687,84.745895,26.314276,111.060172,3.990577,10000.0,2000000000.0
shuffle,0.48,0.24,148278.0,147855.0,0.2310234375,0.9971472504349937,143.0788,26.932515,170.011315,3.986115,10000.0,2000000000.0
shuffle,0.49,0.245,149229.0,148803.0,0.2325046875,0.9971453269806807,203.401605,27.288919,230.690524,3.984987,10000.0,2000000000.0
shuffle,0.5,0.25,150241.0,149807.0,0.2340734375,0.9971113078320831,258.784469,27.540649,286.325118,3.984173,10000.0,2000000000.0
transpose,0.01,0.005,3151.0,3149.0,0.0049203125,0.9993652808632181,2.0,13.662433,15.662433,5.323595,10000.0,2000000000.0
transpose,0.02,0.01,6392.0,6384.0,0.009975,0.9987484355444305,2.0,13.579731,15.579731,5.272556,10000.0,2000000000.0
transpose,0.03,0.015,9506.0,9491.0,0.0148296875,0.998422049232064,2.0,13.619007,15.619007,5.283532,10000.0,2000000000.0
transpose,0.04,0.02,12607.0,12587.0,0.0196671875,0.9984135797572777,2.0,13.59339,15.59339,5.262255,10000.0,2000000000.0
transpose,0.05,0.025,15968.0,15943.0,0.0249109375,0.9984343687374749,2.0,13.582325,15.582325,5.247695,10000.0,2000000000.0
transpose,0.06,0.03,19104.0,19069.0,0.0297953125,0.9981679229480737,2.0,13.594053,15.594053,5.245057,10000.0,2000000000.0
transpose,0.07,0.035,22259.0,22219.0,0.0347171875,0.998202974077901,2.0,13.624781,15.624781,5.250461,10000.0,2000000000.0
transpose,0.08,0.04,25466.0,25421.0,0.0397203125,0.9982329380350271,2.0,13.636324,15.636324,5.24645,10000.0,2000000000.0
transpose,0.09,0.045,28697.0,28650.0,0.044765625,0.9983621981391783,2.0,13.637382,15.637382,5.237347,10000.0,2000000000.0
transpose,0.1,0.05,31948.0,31897.0,0.0498390625,0.998403655940904,2.0,13.642662,15.642662,5.229395,10000.0,2000000000.0
transpose,0.11,0.055,35122.0,35065.0,0.0547890625,0.9983770855873811,2.0,13.666391,15.666391,5.230058,10000.0,2000000000.0
transpose,0.12,0.06,38292.0,38230.0,0.059734375,0.9983808628434138,2.0,13.692179,15.692179,5.23118,10000.0,2000000000.0
transpose,0.13,0.065,41433.0,41368.0,0.0646375,0.9984312021818358,2.0,13.701363,15.701363,5.223603,10000.0,2000000000.0
transpose,0.14,0.07,44569.0,44500.0,0.06953125,0.9984518387219816,2.0,13.727213,15.727213,5.224404,10000.0,2000000000.0
transpose,0.15,0.075,47760.0,47687.0,0.0745109375,0.9984715242881071,2.0,13.761717,15.761717,5.227169,10000.0,2000000000.0
transpose,0.16,0.08,50975.0,50894.0,0.079521875,0.9984109857773419,2.0,13.805733,15.805733,5.232365,10000.0,2000000000.0
transpose,0.17,0.085,54179.0,54093.0,0.0845203125,0.9984126691153399,2.0,13.842142,15.842142,5.234984,10000.0,2000000000.0
transpose,0.18,0.09,57392.0,57301.0,0.0895328125,0.9984144131586283,2.0,13.87913,15.87913,5.233556,10000.0,2000000000.0
transpose,0.19,0.095,60619.0,60520.0,0.0945625,0.9983668486778073,2.0,13.927049,15.927049,5.234997,10000.0,2000000000.0
transpose,0.2,0.1,63806.0,63702.0,0.099534375,0.9983700592420776,2.0,14.000345,16.000345,5.245455,10000.0,2000000000.0
transpose,0.21,0.105,66989.0,66881.0,0.1045015625,0.9983877950111212,2.0,14.055217,16.055217,5.243851,10000.0,2000000000.0
transpose,0.22,0.11,70137.0,70025.0,0.1094140625,0.9984031253118896,2.0,14.120914,16.120914,5.242613,10000.0,2000000000.0
transpose,0.23,0.115,73254.0,73136.0,0.114275,0.9983891664618997,2.000014,14.204441,16.204455,5.242234,10000.0,2000000000.0
transpose,0.24,0.12,76496.0,76375.0,0.1193359375,0.9984182179460364,2.000013,14.305178,16.305191,5.241087,10000.0,2000000000.0
transpose,0.25,0.125,79713.0,79582.0,0.124346875,0.9983566043179908,2.000025,14.455668,16.455693,5.243246,10000.0,2000000000.0
transpose,0.26,0.13,82939.0,82807.0,0.1293859375,0.9984084688747151,2.000302,14.709747,16.710049,5.246368,10000.0,2000000000.0
transpose,0.27,0.135,86166.0,86024.0,0.1344125,0.9983520181974329,2.019006,15.222403,17.241409,5.248326,10000.0,2000000000.0
transpose,0.28,0.14,89310.0,89149.0,0.1392953125,0.9981972903370283,3.003208,16.312241,19.315449,5.244523,10000.0,2000000000.0
transpose,0.29,0.145,92398.0,92217.0,0.1440890625,0.9980410831403277,10.569342,18.047334,28.616676,5.228624,10000.0,2000000000.0
transpose,0.3,0.15,94906.0,94721.0,0.1480015625,0.9980507028006659,41.77818,18.575216,60.353396,5.171293,10000.0,2000000000.0
transpose,0.31,0.155,97381.0,97188.0,0.15185625,0.9980180938786827,60.867854,18.816953,79.684807,5.11771,10000.0,2000000000.0
transpose,0.32,0.16,99884.0,99685.0,0.1557578125,0.9980076889191463,72.33007,19.356924,91.686994,5.064453,10000.0,2000000000.0
transpose,0.33,0.165,102346.0,102124.0,0.15956875,0.9978308873820179,79.625171,20.32675,99.951921,5.010419,10000.0,2000000000.0
