mode,policy,reserve,pool_slots,pair_slots,pattern,link_latency,injection_rate,vcs_per_vnet,sim_cycles,random_seed,deadlock,exit_code,wall_seconds,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,escape_hops,escape_transitions,grants_migrated,credits_returned,pool_full_blocks,borrowed_peak,grant_queue_mean,grant_queue_max,return_credit_conflicts,received_east,received_west,received_north,received_south,received_up,received_down,received_dir_total,sim_ticks
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.55,3,10000,1,0,0,12.326,176000.0,175721.0,175575.0,0.9984147727272727,0.9991691374394637,0.2743359375,2.603793,7.283395,9.887188,2.02129,12521.0,8362.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.6,3,10000,1,0,0,12.505,192000.0,191710.0,191546.0,0.9984895833333334,0.9991445412341557,0.299290625,2.871044,7.314447,10.185491,2.02555,16350.0,10833.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.65,3,10000,1,0,0,12.744,208000.0,207777.0,207598.0,0.9989278846153846,0.9991384994489284,0.324371875,3.378616,7.348115,10.726731,2.029817,20841.0,13770.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.7,3,10000,1,0,0,12.989,224000.0,223649.0,223462.0,0.9984330357142858,0.9991638683830466,0.349159375,4.53708,7.383099,11.920179,2.03239,24805.0,16393.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.75,3,10000,1,0,0,12.929,240000.0,239552.0,239353.0,0.9981333333333333,0.9991692826609672,0.3739890625,9.344023,7.406776,16.750799,2.031577,26269.0,17176.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.8,3,10000,1,0,0,13.287,256000.0,253081.0,252872.0,0.98859765625,0.9991741774372632,0.3951125,70.066377,7.375332,77.44171,2.010685,8430.0,5263.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.85,3,10000,1,0,0,13.554,272000.0,255690.0,255469.0,0.9400367647058824,0.9991356721029372,0.3991703125,301.783195,7.400049,309.183243,2.001073,958.0,628.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.9,3,10000,1,0,0,13.571,288000.0,255809.0,255579.0,0.8882256944444444,0.9991008916809025,0.3993421875,560.69618,7.328622,568.024803,2.000595,2321.0,2138.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,1,0.95,3,10000,1,0,0,13.692,304000.0,255922.0,255691.0,0.8418486842105263,0.9990973812333446,0.3995171875,788.917357,7.313234,796.230591,2.000274,273.0,182.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
PRIV-v3,private,,0,6,torus3d_xopposite,1,1.0,3,10000,1,0,0,13.618,320000.0,255980.0,255734.0,0.7999375,0.9990389874208923,0.399584375,997.54475,7.281382,1004.826132,2.000016,15.0,10.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
