mode,policy,reserve,pool_slots,pair_slots,pattern,link_latency,injection_rate,vcs_per_vnet,sim_cycles,random_seed,deadlock,exit_code,wall_seconds,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,escape_hops,escape_transitions,grants_migrated,credits_returned,pool_full_blocks,borrowed_peak,grant_queue_mean,grant_queue_max,return_credit_conflicts,received_east,received_west,received_north,received_south,received_up,received_down,received_dir_total,sim_ticks
STV-a,starve,2,4,8,torus3d_xbiased,1,0.25,8,5000,1,0,0,11.935,40000.0,39784.0,39737.0,0.9946,0.9988186205509753,0.124178125,2.0,5.026021,7.026021,1.01213,1404.0,922.0,131414.0,914426.0,0.0,1.0,0.608872,5.0,489982.0,241.0,39510.0,0.0,0.0,0.0,0.0,39751.0,5000.0
STV-a,starve,2,4,8,torus3d_xbiased,1,0.3,8,5000,1,0,0,12.215,48000.0,47779.0,47735.0,0.9953958333333334,0.9990790933255196,0.149171875,2.0,5.033288,7.033288,1.015083,2213.0,1492.0,132498.0,906810.0,0.0,1.0,0.630319,6.0,491080.0,360.0,47389.0,0.0,0.0,0.0,0.0,47749.0,5000.0
STV-a,starve,2,4,8,torus3d_xbiased,1,0.4,8,5000,1,0,0,12.253,64000.0,63399.0,63324.0,0.990609375,0.9988170160412625,0.1978875,2.0,5.055998,7.055998,1.024383,4825.0,3280.0,170497.0,892228.0,0.0,1.0,0.670315,6.0,491248.0,772.0,62580.0,0.0,0.0,0.0,0.0,63352.0,5000.0
STV-a,starve,2,4,8,torus3d_xbiased,1,0.6,8,5000,1,0,0,12.407,96000.0,95564.0,95453.0,0.9954583333333333,0.9988384747394417,0.298290625,2.000178,5.12249,7.122668,1.047605,14956.0,10412.0,193814.0,862971.0,0.0,1.0,0.772617,7.0,486496.0,2272.0,93221.0,0.0,0.0,0.0,0.0,95493.0,5000.0
PRESS-a,pressure,2,4,8,torus3d_xbiased,1,0.1,8,5000,1,0,0,11.493,16000.0,15942.0,15926.0,0.996375,0.9989963618115669,0.04976875,2.0,5.002009,7.002009,1.001005,57.0,41.0,84.0,941964.0,0.0,1.0,0.651451,5.0,500084.0,8.0,15925.0,0.0,0.0,0.0,0.0,15933.0,5000.0
PRESS-a,pressure,2,4,8,torus3d_xbiased,1,0.15,8,5000,1,0,0,11.890,24000.0,23919.0,23885.0,0.996625,0.9985785358919688,0.074640625,2.0,5.004522,7.004522,1.002093,155.0,105.0,128.0,934325.0,0.0,1.0,0.678946,5.0,497807.0,25.0,23874.0,0.0,0.0,0.0,0.0,23899.0,5000.0
PRESS-a,pressure,2,4,8,torus3d_xbiased,1,0.2,8,5000,1,0,0,12.094,32000.0,31971.0,31931.0,0.99909375,0.9987488661599575,0.099784375,2.0,5.008017,7.008017,1.003695,359.0,241.0,216.0,926044.0,0.0,1.0,0.705898,5.0,495237.0,59.0,31882.0,0.0,0.0,0.0,0.0,31941.0,5000.0
PRESS-a,pressure,2,4,8,torus3d_xbiased,1,0.25,8,5000,1,0,0,11.978,40000.0,39784.0,39737.0,0.9946,0.9988186205509753,0.124178125,2.0,5.009764,7.009764,1.004479,572.0,394.0,330.0,917973.0,0.0,1.0,0.733636,6.0,492040.0,89.0,39662.0,0.0,0.0,0.0,0.0,39751.0,5000.0
PRESS-a,pressure,2,4,8,torus3d_xbiased,1,0.3,8,5000,1,0,0,12.006,48000.0,47779.0,47735.0,0.9953958333333334,0.9990790933255196,0.149171875,2.0,5.018519,7.018519,1.008212,1141.0,748.0,542.0,910078.0,0.0,1.0,0.759066,6.0,489541.0,196.0,47553.0,0.0,0.0,0.0,0.0,47749.0,5000.0
PRESS-a,pressure,2,4,8,torus3d_xbiased,1,0.4,8,5000,1,0,0,11.989,64000.0,63399.0,63324.0,0.990609375,0.9988170160412625,0.1978875,2.0,5.027067,7.027067,1.01137,2301.0,1581.0,1060.0,893901.0,0.0,1.0,0.804117,7.0,482969.0,360.0,62993.0,0.0,0.0,0.0,0.0,63353.0,5000.0
PRESS-a,pressure,2,4,8,torus3d_xbiased,1,0.6,8,5000,1,0,0,11.837,96000.0,95564.0,95453.0,0.9954583333333333,0.9988384747394417,0.298290625,2.00001,5.067279,7.06729,1.026086,7722.0,5232.0,3117.0,861939.0,0.0,1.0,0.902867,7.0,467406.0,1245.0,94248.0,0.0,0.0,0.0,0.0,95493.0,5000.0
PRIV,private,,0,8,torus3d_xbiased,8,0.1,4,5000,1,0,0,10.324,16000.0,15942.0,15868.0,0.996375,0.9953581733784971,0.0495875,2.262919,26.0,28.262919,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
PRIV,private,,0,8,torus3d_xbiased,8,0.15,4,5000,1,0,0,10.417,24000.0,23914.0,23777.0,0.9964166666666666,0.9942711382453793,0.074303125,2.829667,26.0,28.829667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
PRIV,private,,0,8,torus3d_xbiased,8,0.2,4,5000,1,0,0,10.311,32000.0,31959.0,31784.0,0.99871875,0.9945242341750368,0.099325,4.364806,26.0,30.364806,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
PRIV,private,,0,8,torus3d_xbiased,8,0.25,4,5000,1,0,0,10.289,40000.0,39735.0,39523.0,0.993375,0.9946646533283,0.123509375,8.165043,26.0,34.165043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
PRIV,private,,0,8,torus3d_xbiased,8,0.3,4,5000,1,0,0,10.463,48000.0,47439.0,47181.0,0.9883125,0.9945614367925125,0.147440625,33.563108,26.0,59.563108,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0
