topology,injection_rate,offered_load,expected_generated,packets_injected,packets_received,flits_injected,flits_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,average_link_utilization,sim_ticks,sim_freq
mesh,0.11,0.055,8800.0,8820.0,8810.0,8820.0,8810.0,1.0022727272727272,0.9988662131519275,0.0550625,2.0,8.081044,10.081044,2.499319,3.9669,10000.0,2000000000.0
mesh,0.12,0.06,9600.0,9570.0,9561.0,9570.0,9561.0,0.996875,0.9990595611285267,0.05975625,2.0,8.091727,10.091727,2.500471,4.3047,10000.0,2000000000.0
mesh,0.13,0.065,10400.0,10369.0,10359.0,10369.0,10359.0,0.9970192307692308,0.9990355868454046,0.06474375,2.0,8.079255,10.079255,2.492905,4.6571,10000.0,2000000000.0
mesh,0.14,0.07,11200.000000000002,11081.0,11073.0,11081.0,11073.0,0.9893749999999999,0.9992780434978793,0.06920625,2.0,8.101779,10.101779,2.498329,4.983,10000.0,2000000000.0
mesh,0.15,0.075,12000.0,11893.0,11883.0,11893.0,11883.0,0.9910833333333333,0.9991591692592281,0.07426875,2.0,8.106707,10.106707,2.497013,5.3462,10000.0,2000000000.0
mesh,0.16,0.08,12800.0,12725.0,12714.0,12725.0,12714.0,0.994140625,0.9991355599214146,0.0794625,2.0,8.107047,10.107047,2.495595,5.7184,10000.0,2000000000.0
mesh,0.17,0.085,13600.000000000002,13514.0,13505.0,13514.0,13505.0,0.9936764705882352,0.9993340239751369,0.08440625,2.0,8.103813,10.103813,2.488634,6.0638,10000.0,2000000000.0
mesh,0.18,0.09,14400.0,14346.0,14329.0,14346.0,14329.0,0.99625,0.9988150006970584,0.08955625,2.0,8.157234,10.157234,2.512457,6.4706,10000.0,2000000000.0
mesh,0.19,0.095,15200.0,15102.0,15091.0,15102.0,15091.0,0.9935526315789474,0.9992716196530261,0.09431875,2.0,8.170234,10.170234,2.516467,6.8186,10000.0,2000000000.0
mesh,0.2,0.1,16000.0,15856.0,15846.0,15856.0,15846.0,0.991,0.9993693239152371,0.0990375,2.0,8.14622,10.14622,2.502398,7.1373,10000.0,2000000000.0
mesh,0.21,0.105,16800.0,16690.0,16679.0,16690.0,16679.0,0.993452380952381,0.9993409227082085,0.10424375,2.0,8.12123,10.12123,2.483962,7.4822,10000.0,2000000000.0
mesh,0.22,0.11,17600.0,17486.0,17475.0,17486.0,17475.0,0.9935227272727273,0.9993709253116779,0.10921875,2.0,8.162976,10.162976,2.503062,7.872,10000.0,2000000000.0
mesh,0.23,0.115,18400.0,18294.0,18279.0,18294.0,18279.0,0.9942391304347826,0.9991800590357495,0.11424375,2.0,8.157941,10.157941,2.496745,8.2241,10000.0,2000000000.0
mesh,0.24,0.12,19200.0,19130.0,19120.0,19130.0,19120.0,0.9963541666666667,0.9994772608468374,0.1195,2.0,8.13886,10.13886,2.481851,8.5722,10000.0,2000000000.0
mesh,0.25,0.125,20000.0,19928.0,19907.0,19928.0,19907.0,0.9964,0.9989462063428342,0.12441875,2.0,8.176672,10.176672,2.497513,8.9609,10000.0,2000000000.0
mesh,0.26,0.13,20800.0,20752.0,20735.0,20752.0,20735.0,0.9976923076923077,0.999180801850424,0.12959375,2.0,8.132915,10.132915,2.474801,9.2826,10000.0,2000000000.0
mesh,0.27,0.135,21600.0,21569.0,21545.0,21569.0,21545.0,0.9985648148148148,0.9988872919467755,0.13465625,2.0,8.193084,10.193084,2.501044,9.7048,10000.0,2000000000.0
mesh,0.28,0.14,22400.000000000004,22356.0,22334.0,22356.0,22334.0,0.9980357142857141,0.999015924136697,0.1395875,2.0,8.209053,10.209053,2.503672,10.0648,10000.0,2000000000.0
mesh,0.29,0.145,23200.0,23168.0,23147.0,23168.0,23147.0,0.9986206896551724,0.9990935773480663,0.14466875,2.0,8.203396,10.203396,2.495961,10.4124,10000.0,2000000000.0
mesh,0.3,0.15,24000.0,23980.0,23960.0,23980.0,23960.0,0.9991666666666666,0.9991659716430359,0.14975,2.0,8.189775,10.189775,2.486311,10.7546,10000.0,2000000000.0
mesh,0.31,0.155,24800.0,24784.0,24758.0,24784.0,24758.0,0.9993548387096775,0.9989509360877986,0.1547375,2.0,8.243315,10.243315,2.504766,11.1602,10000.0,2000000000.0
mesh,0.32,0.16,25600.0,25570.0,25545.0,25570.0,25545.0,0.998828125,0.9990222917481424,0.15965625,2.0,8.233314,10.233314,2.499354,11.4998,10000.0,2000000000.0
mesh,0.33,0.165,26400.0,26354.0,26330.0,26354.0,26330.0,0.9982575757575758,0.9990893223040146,0.1645625,2.0,8.221382,10.221382,2.488644,11.8261,10000.0,2000000000.0
mesh,0.34,0.17,27200.000000000004,27114.0,27090.0,27114.0,27090.0,0.9968382352941175,0.9991148484177915,0.1693125,2.0,8.249834,10.249834,2.495866,12.1868,10000.0,2000000000.0
mesh,0.35,0.175,28000.0,27929.0,27902.0,27929.0,27902.0,0.9974642857142857,0.9990332629166816,0.1743875,2.0,8.286395,10.286395,2.511935,12.5959,10000.0,2000000000.0
mesh,0.36,0.18,28800.0,28652.0,28630.0,28652.0,28630.0,0.9948611111111111,0.9992321652938713,0.1789375,2.0,8.285714,10.285714,2.509501,12.9167,10000.0,2000000000.0
mesh,0.37,0.185,29600.0,29462.0,29432.0,29462.0,29432.0,0.9953378378378378,0.9989817391894644,0.18395,2.0,8.272357,10.272357,2.499388,13.2502,10000.0,2000000000.0
mesh,0.38,0.19,30400.0,30316.0,30294.0,30316.0,30294.0,0.9972368421052632,0.9992743105950653,0.1893375,2.0,8.247442,10.247442,2.481548,13.5822,10000.0,2000000000.0
mesh,0.39,0.195,31200.0,31100.0,31064.0,31100.0,31064.0,0.9967948717948718,0.9988424437299035,0.19415,2.0,8.293459,10.293459,2.502318,13.9969,10000.0,2000000000.0
mesh,0.4,0.2,32000.0,31925.0,31900.0,31925.0,31900.0,0.99765625,0.9992169146436961,0.199375,2.0,8.296238,10.296238,2.497273,14.3543,10000.0,2000000000.0
mesh,0.41,0.205,32800.0,32708.0,32671.0,32708.0,32671.0,0.9971951219512195,0.998868778280543,0.20419375,2.0,8.298583,10.298583,2.496342,14.6996,10000.0,2000000000.0
mesh,0.42,0.21,33600.0,33496.0,33467.0,33496.0,33467.0,0.996904761904762,0.9991342249820874,0.20916875,2.0,8.333762,10.333762,2.505842,15.0869,10000.0,2000000000.0
mesh,0.43,0.215,34400.0,34349.0,34317.0,34349.0,34317.0,0.9985174418604651,0.9990683862703427,0.21448125,2.0,8.318239,10.318239,2.497071,15.4424,10000.0,2000000000.0
mesh,0.44,0.22,35200.0,35168.0,35135.0,35168.0,35135.0,0.9990909090909091,0.9990616469517744,0.21959375,2.0,8.364651,10.364651,2.511541,15.8625,10000.0,2000000000.0
mesh,0.45,0.225,36000.0,35927.0,35899.0,35927.0,35899.0,0.9979722222222223,0.9992206418570991,0.22436875,2.0,8.324187,10.324187,2.490515,16.1289,10000.0,2000000000.0
mesh,0.46,0.23,36800.0,36689.0,36655.0,36689.0,36655.0,0.9969836956521739,0.9990732917223146,0.22909375,2.0,8.342955,10.342955,2.497285,16.4945,10000.0,2000000000.0
mesh,0.47,0.235,37600.0,37457.0,37415.0,37457.0,37415.0,0.9961968085106383,0.998878714259017,0.23384375,2.0,8.366431,10.366431,2.503809,16.8618,10000.0,2000000000.0
mesh,0.48,0.24,38400.0,38210.0,38174.0,38210.0,38174.0,0.9950520833333333,0.999057838262235,0.2385875,2.0,8.3505,10.3505,2.490412,17.1508,10000.0,2000000000.0
mesh,0.49,0.245,39200.0,39013.0,38970.0,39013.0,38970.0,0.9952295918367347,0.9988978032963372,0.2435625,2.0,8.354119,10.354119,2.488863,17.5056,10000.0,2000000000.0
mesh,0.5,0.25,40000.0,39773.0,39733.0,39773.0,39733.0,0.994325,0.9989942926105649,0.24833125,2.0,8.393929,10.393929,2.501951,17.8981,10000.0,2000000000.0
