mode,pattern,injection_rate,link_latency,sim_cycles,seed,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,escape_hops,escape_transitions,pool_allocations,owned_pool_allocations,demand_reclaims,owner_migrations,release_handoffs,release_keeps,pool_write_blocks,pool_read_conflicts,pool_reads,reserved_reads,borrowed_peak,sim_ticks,pool_allocations_east,pool_allocations_west,pool_allocations_north,pool_allocations_south,pool_allocations_up,pool_allocations_down,pool_reads_east,pool_reads_west,pool_reads_north,pool_reads_south,pool_reads_up,pool_reads_down,reserved_reads_east,reserved_reads_west,reserved_reads_north,reserved_reads_south,reserved_reads_up,reserved_reads_down,migrations_to_east,migrations_to_west,migrations_to_north,migrations_to_south,migrations_to_up,migrations_to_down
dpphys_rts,torus3d_tornado,0.5,1,10000,3,0,160000.0,159532.0,159341.0,0.997075,0.9988027480380112,0.2489703125,2.001425,10.982478,12.983902,3.001908,960.0,655.0,169660.0,169660.0,0.0,0.0,0.0,169619.0,0.0,0.0,169619.0,308948.0,0.0,10000.0,0.0,56554.0,0.0,56477.0,0.0,56629.0,0.0,56537.0,0.0,56464.0,0.0,56618.0,138.0,102835.0,192.0,102893.0,126.0,102764.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_tornado,0.9,1,10000,1,0,288000.0,287803.0,287413.0,0.9993159722222222,0.9986449064116775,0.4490828125,2.096224,12.842763,14.938987,3.074687,66009.0,38612.0,472808.0,472808.0,0.0,0.0,0.0,472676.0,0.0,0.0,472676.0,411482.0,0.0,10000.0,0.0,157495.0,0.0,157464.0,0.0,157849.0,0.0,157444.0,0.0,157425.0,0.0,157807.0,10916.0,126471.0,10630.0,126594.0,10665.0,126206.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_tornado,0.9,1,10000,2,0,288000.0,287459.0,287080.0,0.9981215277777777,0.998681551108158,0.4485625,2.094381,12.834583,14.928964,3.073694,65435.0,38381.0,471746.0,471746.0,0.0,0.0,0.0,471612.0,0.0,0.0,471612.0,411227.0,0.0,10000.0,0.0,157138.0,0.0,157346.0,0.0,157262.0,0.0,157091.0,0.0,157302.0,0.0,157219.0,10571.0,126610.0,10661.0,126374.0,10516.0,126495.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_rts,torus3d_tornado,0.9,1,10000,3,0,288000.0,287522.0,287141.0,0.9983402777777778,0.9986748840088758,0.4486578125,2.096273,12.833817,14.93009,3.073267,65077.0,38066.0,472105.0,472105.0,0.0,0.0,0.0,471974.0,0.0,0.0,471974.0,410938.0,0.0,10000.0,0.0,157363.0,0.0,157390.0,0.0,157352.0,0.0,157316.0,0.0,157342.0,0.0,157316.0,10600.0,126437.0,10409.0,126473.0,10566.0,126453.0,0.0,0.0,0.0,0.0,0.0,0.0
dpphys_owner_rr,torus3d_tornado,0.1,1,10000,1,0,32000.0,31899.0,31859.0,0.99684375,0.9987460421956801,0.0497796875,2.0,9.321291,11.321291,3.0,7.0,7.0,3638.0,3638.0,0.0,192.0,192.0,3445.0,0.0,0.0,3637.0,91993.0,1.0,10000.0,0.0,1254.0,0.0,1204.0,0.0,1180.0,0.0,1254.0,0.0,1204.0,0.0,1179.0,0.0,30618.0,0.0,30676.0,0.0,30699.0,64.0,0.0,64.0,0.0,64.0,0.0
dpphys_owner_rr,torus3d_tornado,0.1,1,10000,2,0,32000.0,31675.0,31647.0,0.98984375,0.9991160220994475,0.0494484375,2.0,9.321547,11.321547,3.000126,12.0,8.0,3554.0,3554.0,0.0,192.0,192.0,3362.0,0.0,0.0,3554.0,91435.0,1.0,10000.0,0.0,1140.0,0.0,1158.0,0.0,1256.0,0.0,1140.0,0.0,1158.0,0.0,1256.0,3.0,30522.0,0.0,30506.0,3.0,30401.0,64.0,0.0,64.0,0.0,64.0,0.0
dpphys_owner_rr,torus3d_tornado,0.1,1,10000,3,0,32000.0,31949.0,31916.0,0.99840625,0.9989671038217158,0.04986875,2.0,9.328456,11.328456,3.000125,21.0,17.0,3699.0,3699.0,0.0,192.0,192.0,3507.0,0.0,0.0,3699.0,92106.0,1.0,10000.0,0.0,1251.0,0.0,1238.0,0.0,1210.0,0.0,1251.0,0.0,1238.0,0.0,1210.0,0.0,30684.0,3.0,30695.0,3.0,30721.0,64.0,0.0,64.0,0.0,64.0,0.0
dpphys_owner_rr,torus3d_tornado,0.3,1,10000,1,0,96000.0,95859.0,95738.0,0.99853125,0.9987377293733505,0.149590625,2.000021,10.173515,12.173536,3.009254,2637.0,1692.0,46193.0,46193.0,0.0,192.0,192.0,45983.0,0.0,0.0,46175.0,242056.0,1.0,10000.0,0.0,15496.0,0.0,15339.0,0.0,15358.0,0.0,15490.0,0.0,15332.0,0.0,15353.0,480.0,80131.0,465.0,80294.0,384.0,80302.0,64.0,0.0,64.0,0.0,64.0,0.0
dpphys_owner_rr,torus3d_tornado,0.3,1,10000,2,0,96000.0,95885.0,95789.0,0.9988020833333333,0.998998800646608,0.1496703125,2.000021,10.186973,12.186994,3.009062,2631.0,1687.0,46580.0,46580.0,0.0,192.0,192.0,46378.0,0.0,0.0,46570.0,241791.0,1.0,10000.0,0.0,15570.0,0.0,15526.0,0.0,15484.0,0.0,15565.0,0.0,15521.0,0.0,15484.0,444.0,80117.0,444.0,80161.0,414.0,80211.0,64.0,0.0,64.0,0.0,64.0,0.0
dpphys_owner_rr,torus3d_tornado,0.3,1,10000,3,0,96000.0,95687.0,95579.0,0.9967395833333333,0.9988713200330244,0.1493421875,2.000031,10.164021,12.164053,3.008977,2603.0,1693.0,46035.0,46035.0,0.0,192.0,192.0,45826.0,0.0,0.0,46018.0,241721.0,1.0,10000.0,0.0,15308.0,0.0,15370.0,0.0,15357.0,0.0,15302.0,0.0,15363.0,0.0,15353.0,417.0,80183.0,447.0,80114.0,426.0,80134.0,64.0,0.0,64.0,0.0,64.0,0.0
