config,pattern,rate,pd_throughput,global_throughput,throughput_delta_pct,pd_latency,global_latency,latency_delta_pct,pd_pool_blocks,global_pool_blocks,pd_deadlock,global_deadlock
B4_dpesc_v5_s4,torus3d_xopposite,0.3,0.1495796875,0.1495796875,0.0,9.162497,9.160011,-0.027132341762292622,0,0,0,0
B4_dpesc_v5_s4,torus3d_xopposite,0.35,0.1744015625,0.1744015625,0.0,9.189398,9.188278,-0.012187958340692528,0,0,0,0
B4_dpesc_v5_s4,torus3d_xopposite,0.4,0.199271875,0.199271875,0.0,9.217009,9.214351,-0.028837988549201832,0,0,0,0
B4_dpesc_v5_s4,torus3d_xopposite,0.45,0.2241265625,0.224125,-0.0006971507448993997,9.248743,9.241125,-0.08236794989329166,0,0,0,0
B4_dpesc_v5_s4,torus3d_xopposite,0.5,0.2489484375,0.248946875,-0.0006276400107974034,9.28021,9.267646,-0.13538486736831556,0,0,0,0
B4_dpesc_v5_s4,uniform_random,0.05,0.0249359375,0.0249359375,0.0,11.039852,11.039852,0.0,0,0,0,0
B4_dpesc_v5_s4,uniform_random,0.1,0.0498953125,0.0498953125,0.0,11.113832,11.113832,0.0,0,0,0,0
B4_dpesc_v5_s4,uniform_random,0.15,0.0744765625,0.0744765625,0.0,11.140753,11.140019,-0.006588423601161519,0,0,0,0
B4_dpesc_v5_s4,uniform_random,0.2,0.0995796875,0.0995796875,0.0,11.178798,11.180728,0.017264825788965155,0,0,0,0
B4_dpesc_v5_s4,uniform_random,0.25,0.1246578125,0.1246578125,0.0,11.229754,11.230218,0.004131880359992124,0,0,0,0
B4_dpesc_v5_s4,uniform_random,0.3,0.1499453125,0.149946875,0.001042046579469158,11.283041,11.285559,0.022316678632994247,0,0,0,0
B4_dpesc_v5_s4,uniform_random,0.35,0.17483125,0.1748296875,-0.0008937189432622894,11.307323,11.308407,0.009586707658404414,0,0,0,0
B4_dpesc_v5_s4,uniform_random,0.4,0.1995640625,0.1995640625,0.0,11.354421,11.353113,-0.011519741957777274,0,0,0,0
B4_dpesc_v5_s4,uniform_random,0.45,0.2244578125,0.224453125,-0.0020883657146031354,11.415989,11.411779,-0.03687810140672321,0,0,0,0
B4_dpesc_v5_s4,uniform_random,0.5,0.24905,0.24905,0.0,11.448724,11.447946,-0.006795517124880135,0,0,0,0
