mode,pattern,injection_rate,vcs_per_vnet,sim_cycles,deadlock,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,cbs_entry_blocks,cbs_mark_moves,sim_ticks
torus3d_dor,torus3d_neighbor,0.05,4,10000,0,16000.0,15968.0,15957.0,0.998,0.9993111222444889,0.0249328125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.1,4,10000,0,32000.0,31948.0,31924.0,0.998375,0.9992487792663077,0.04988125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.15,4,10000,0,48000.0,47760.0,47729.0,0.995,0.9993509212730318,0.0745765625,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.2,4,10000,0,64000.0,63806.0,63763.0,0.99696875,0.9993260821866282,0.0996296875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.25,4,10000,0,80000.0,79713.0,79662.0,0.9964125,0.999360204734485,0.124471875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.3,4,10000,0,96000.0,95810.0,95751.0,0.9980208333333334,0.9993841978916606,0.1496109375,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.35,4,10000,0,112000.0,111703.0,111637.0,0.9973482142857143,0.9994091474714197,0.1744328125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.4,4,10000,0,128000.0,127637.0,127562.0,0.9971640625,0.9994123960920422,0.199315625,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.45,4,10000,0,144000.0,143553.0,143470.0,0.9968958333333333,0.9994218163326437,0.224171875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.5,4,10000,0,160000.0,159452.0,159359.0,0.996575,0.9994167523768909,0.2489984375,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.55,4,10000,0,176000.0,175634.0,175531.0,0.9979204545454545,0.9994135531844631,0.2742671875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.6,4,10000,0,192000.0,191507.0,191396.0,0.9974322916666667,0.9994203867221564,0.29905625,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.65,4,10000,0,208000.0,207649.0,207533.0,0.9983125,0.999441364995738,0.3242703125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.7,4,10000,0,224000.0,223725.0,223596.0,0.9987723214285714,0.9994233992624875,0.34936875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.75,4,10000,0,240000.0,239664.0,239523.0,0.9986,0.9994116763468857,0.3742546875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.8,4,10000,0,256000.0,255852.0,255701.0,0.999421875,0.9994098150493254,0.3995328125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.85,4,10000,0,272000.0,271674.0,271515.0,0.9988014705882353,0.9994147397248172,0.4242421875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.9,4,10000,0,288000.0,287669.0,287498.0,0.9988506944444444,0.9994055668146377,0.449215625,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,0.95,4,10000,0,304000.0,303819.0,303636.0,0.9994046052631579,0.9993976676903025,0.47443125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_neighbor,1.0,4,10000,0,320000.0,319602.0,319411.0,0.99875625,0.9994023817122546,0.4990796875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.05,4,10000,0,16000.0,15968.0,15957.0,0.998,0.9993111222444889,0.0249328125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.1,4,10000,0,32000.0,31948.0,31924.0,0.998375,0.9992487792663077,0.04988125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.15,4,10000,0,48000.0,47760.0,47729.0,0.995,0.9993509212730318,0.0745765625,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.2,4,10000,0,64000.0,63806.0,63763.0,0.99696875,0.9993260821866282,0.0996296875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.25,4,10000,0,80000.0,79713.0,79662.0,0.9964125,0.999360204734485,0.124471875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.3,4,10000,0,96000.0,95810.0,95751.0,0.9980208333333334,0.9993841978916606,0.1496109375,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.35,4,10000,0,112000.0,111703.0,111637.0,0.9973482142857143,0.9994091474714197,0.1744328125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.4,4,10000,0,128000.0,127637.0,127562.0,0.9971640625,0.9994123960920422,0.199315625,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.45,4,10000,0,144000.0,143553.0,143470.0,0.9968958333333333,0.9994218163326437,0.224171875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.5,4,10000,0,160000.0,159452.0,159359.0,0.996575,0.9994167523768909,0.2489984375,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.55,4,10000,0,176000.0,175634.0,175531.0,0.9979204545454545,0.9994135531844631,0.2742671875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.6,4,10000,0,192000.0,191507.0,191396.0,0.9974322916666667,0.9994203867221564,0.29905625,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.65,4,10000,0,208000.0,207649.0,207533.0,0.9983125,0.999441364995738,0.3242703125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.7,4,10000,0,224000.0,223725.0,223596.0,0.9987723214285714,0.9994233992624875,0.34936875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.75,4,10000,0,240000.0,239664.0,239523.0,0.9986,0.9994116763468857,0.3742546875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.8,4,10000,0,256000.0,255852.0,255701.0,0.999421875,0.9994098150493254,0.3995328125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.85,4,10000,0,272000.0,271674.0,271515.0,0.9988014705882353,0.9994147397248172,0.4242421875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.9,4,10000,0,288000.0,287669.0,287498.0,0.9988506944444444,0.9994055668146377,0.449215625,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,0.95,4,10000,0,304000.0,303819.0,303636.0,0.9994046052631579,0.9993976676903025,0.47443125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor_cbs,torus3d_neighbor,1.0,4,10000,0,320000.0,319602.0,319411.0,0.99875625,0.9994023817122546,0.4990796875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.05,4,10000,0,16000.0,15968.0,15957.0,0.998,0.9993111222444889,0.0249328125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.1,4,10000,0,32000.0,31948.0,31924.0,0.998375,0.9992487792663077,0.04988125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.15,4,10000,0,48000.0,47760.0,47729.0,0.995,0.9993509212730318,0.0745765625,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.2,4,10000,0,64000.0,63806.0,63763.0,0.99696875,0.9993260821866282,0.0996296875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.25,4,10000,0,80000.0,79713.0,79662.0,0.9964125,0.999360204734485,0.124471875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.3,4,10000,0,96000.0,95810.0,95751.0,0.9980208333333334,0.9993841978916606,0.1496109375,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.35,4,10000,0,112000.0,111703.0,111637.0,0.9973482142857143,0.9994091474714197,0.1744328125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.4,4,10000,0,128000.0,127637.0,127562.0,0.9971640625,0.9994123960920422,0.199315625,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.45,4,10000,0,144000.0,143553.0,143470.0,0.9968958333333333,0.9994218163326437,0.224171875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.5,4,10000,0,160000.0,159452.0,159359.0,0.996575,0.9994167523768909,0.2489984375,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.55,4,10000,0,176000.0,175634.0,175531.0,0.9979204545454545,0.9994135531844631,0.2742671875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.6,4,10000,0,192000.0,191507.0,191396.0,0.9974322916666667,0.9994203867221564,0.29905625,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.65,4,10000,0,208000.0,207649.0,207533.0,0.9983125,0.999441364995738,0.3242703125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.7,4,10000,0,224000.0,223725.0,223596.0,0.9987723214285714,0.9994233992624875,0.34936875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.75,4,10000,0,240000.0,239664.0,239523.0,0.9986,0.9994116763468857,0.3742546875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.8,4,10000,0,256000.0,255852.0,255701.0,0.999421875,0.9994098150493254,0.3995328125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.85,4,10000,0,272000.0,271674.0,271515.0,0.9988014705882353,0.9994147397248172,0.4242421875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.9,4,10000,0,288000.0,287669.0,287498.0,0.9988506944444444,0.9994055668146377,0.449215625,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,0.95,4,10000,0,304000.0,303819.0,303636.0,0.9994046052631579,0.9993976676903025,0.47443125,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_adaptive_escape,torus3d_neighbor,1.0,4,10000,0,320000.0,319602.0,319411.0,0.99875625,0.9994023817122546,0.4990796875,2.0,5.0,7.0,1.0,0.0,0.0,10000.0
torus3d_dor,torus3d_tornado,0.05,4,10000,0,16000.0,15968.0,15949.0,0.998,0.998810120240481,0.0249203125,2.0,9.0,11.0,3.0,0.0,0.0,10000.0
torus3d_dor,torus3d_tornado,0.1,4,10000,0,32000.0,31948.0,31904.0,0.998375,0.9986227619882309,0.04985,2.0,9.0,11.0,3.0,0.0,0.0,10000.0
torus3d_dor,torus3d_tornado,0.15,4,10000,0,48000.0,47760.0,47701.0,0.995,0.9987646566164154,0.0745328125,2.0,9.0,11.0,3.0,0.0,0.0,10000.0
torus3d_dor,torus3d_tornado,0.2,4,10000,0,64000.0,63806.0,63730.0,0.99696875,0.9988088894461336,0.099578125,2.0,9.0,11.0,3.0,0.0,0.0,10000.0
torus3d_dor,torus3d_tornado,0.25,4,10000,0,80000.0,79713.0,79623.0,0.9964125,0.9988709495314441,0.1244109375,2.0,9.0,11.0,3.0,0.0,0.0,10000.0
torus3d_dor,torus3d_tornado,0.3,4,10000,0,96000.0,95810.0,95708.0,0.9980208333333334,0.9989353929652437,0.14954375,2.0,9.0,11.0,3.0,0.0,0.0,10000.0
torus3d_dor,torus3d_tornado,0.35,4,10000,0,112000.0,111703.0,111591.0,0.9973482142857143,0.9989973411636214,0.1743609375,2.0,9.0,11.0,3.0,0.0,0.0,10000.0
torus3d_dor,torus3d_tornado,0.4,4,10000,0,128000.0,127637.0,127504.0,0.9971640625,0.9989579824032216,0.199225,2.0,9.0,11.0,3.0,0.0,0.0,10000.0
torus3d_dor,torus3d_tornado,0.45,4,10000,0,144000.0,143553.0,143408.0,0.9968958333333333,0.9989899200991968,0.224075,2.0,9.0,11.0,3.0,0.0,0.0,10000.0
torus3d_dor,torus3d_tornado,0.5,4,10000,0,160000.0,159452.0,159293.0,0.996575,0.9990028347088779,0.2488953125,2.0,9.0,11.0,3.0,0.0,0.0,10000.0
torus3d_dor,torus3d_tornado,0.55,4,10000,0,176000.0,175634.0,175458.0,0.9979204545454545,0.9989979161210244,0.274153125,2.0,9.0,11.0,3.0,0.0,0.0,10000.0
torus3d_dor,torus3d_tornado,0.6,4,10000,0,192000.0,191507.0,191314.0,0.9974322916666667,0.998992203940326,0.298928125,2.0,9.0,11.0,3.0,0.0,0.0,10000.0
torus3d_dor,torus3d_tornado,0.65,4,10000,0,208000.0,207649.0,207445.0,0.9983125,0.9990175729235392,0.3241328125,2.0,9.0,11.0,3.0,0.0,0.0,10000.0
torus3d_dor,torus3d_tornado,0.7,4,10000,0,224000.0,223725.0,223498.0,0.9987723214285714,0.9989853614929043,0.349215625,2.0,9.0,11.0,3.0,0.0,0.0,10000.0
torus3d_dor,torus3d_tornado,0.75,4,10000,0,240000.0,239664.0,239418.0,0.9986,0.9989735629881834,0.374090625,2.0,9.0,11.0,3.0,0.0,0.0,10000.0
torus3d_dor,torus3d_tornado,0.8,4,10000,0,256000.0,255852.0,255590.0,0.999421875,0.9989759704829354,0.399359375,2.0,9.0,11.0,3.0,0.0,0.0,10000.0
torus3d_dor,torus3d_tornado,0.85,4,10000,0,272000.0,271674.0,271399.0,0.9988014705882353,0.9989877573856902,0.4240609375,2.0,9.0,11.0,3.0,0.0,0.0,10000.0
